"Kueri Baseline";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n1:music_department)-[:COMPOSED]->(n3:drama), (n1:soundtrack)-[:COMPOSED]->(n2:comedy) WHERE (n3.year=1975 AND n1.death=0 AND n1.name=""Franco Micalizzi"") OR (n3.category=""movie"" AND n1.birth=1939 AND n2.year=1983) RETURN count(n1)";"CALL () {
  MATCH (n1:music_department:death_0)-[:COMPOSED]->(n3:drama:year_1975), (n1:soundtrack:death_0)-[:COMPOSED]->(n2:comedy)
  WHERE n1.name=""Franco Micalizzi""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:music_department:birth_1939)-[:COMPOSED]->(n3:drama:movie), (n1:soundtrack:birth_1939)-[:COMPOSED]->(n2:comedy:year_1983)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:music_department:death_0:birth_1939)-[:COMPOSED]->(n3:drama:year_1975:movie), (n1:soundtrack:death_0:birth_1939)-[:COMPOSED]->(n2:comedy:year_1983)
  WHERE n1.name=""Franco Micalizzi""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"1019";"106921";"140.2"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:ACTED_IN]->(n4:documentary), (n3:actor)-[:ACTED_IN]->(n1:music) WHERE (n2.year=1964 AND n3.birth=1945 AND n4.category=""tvMovie"") OR (n3.death=2009 AND n3.name=""Bernard Arcand"" AND n1.year=2009) RETURN count(n1)";"CALL () {
  MATCH (n3:actor:birth_1945)-[:ACTED_IN]->(n2:drama:year_1964), (n3:actor:birth_1945)-[:ACTED_IN]->(n4:documentary:tvMovie), (n3:actor:birth_1945)-[:ACTED_IN]->(n1:music)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actor:death_2009)-[:ACTED_IN]->(n2:drama), (n3:actor:death_2009)-[:ACTED_IN]->(n4:documentary), (n3:actor:death_2009)-[:ACTED_IN]->(n1:music:year_2009)
  WHERE n3.name=""Bernard Arcand""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actor:birth_1945:death_2009)-[:ACTED_IN]->(n2:drama:year_1964), (n3:actor:birth_1945:death_2009)-[:ACTED_IN]->(n4:documentary:tvMovie), (n3:actor:birth_1945:death_2009)-[:ACTED_IN]->(n1:music:year_2009)
  WHERE n3.name=""Bernard Arcand""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"42";"416548";"308.8"
"MATCH (n3:producer)-[:ACTED_IN]->(n1:comedy), (n3:actress)-[:ACTED_IN]->(n2:romance) WHERE (n2.year=2001 AND n3.name=""Natasha Richardson"" AND n1.year=1991) OR (n2.category=""movie"" AND n3.birth=1963 AND n1.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n3:producer)-[:ACTED_IN]->(n1:comedy:year_1991), (n3:actress)-[:ACTED_IN]->(n2:romance:year_2001)
  WHERE n3.name=""Natasha Richardson""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:producer:birth_1963)-[:ACTED_IN]->(n1:comedy:movie), (n3:actress:birth_1963)-[:ACTED_IN]->(n2:romance:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:producer:birth_1963)-[:ACTED_IN]->(n1:comedy:year_1991:movie), (n3:actress:birth_1963)-[:ACTED_IN]->(n2:romance:year_2001:movie)
  WHERE n3.name=""Natasha Richardson""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"1495";"345782";"311.3"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:reality_tv), (n1:writer)-[:ACTED_IN]->(n2:horror) WHERE (n3.category=""tvSeries"" AND n1.name=""Clare Kramer"" AND n2.year=2006) OR (n2.category=""movie"" AND n1.death=0 AND n1.birth=1974) RETURN count(n1)";"CALL () {
  MATCH (n1:actress)-[:ACTED_IN]->(n3:reality_tv:tvSeries), (n1:writer)-[:ACTED_IN]->(n2:horror:year_2006)
  WHERE n1.name=""Clare Kramer""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:actress:death_0:birth_1974)-[:ACTED_IN]->(n3:reality_tv), (n1:writer:death_0:birth_1974)-[:ACTED_IN]->(n2:horror:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:actress:death_0:birth_1974)-[:ACTED_IN]->(n3:reality_tv:tvSeries), (n1:writer:death_0:birth_1974)-[:ACTED_IN]->(n2:horror:year_2006:movie)
  WHERE n1.name=""Clare Kramer""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"33";"1222620";"352.1"
"MATCH (n2:writer)-[:ACTED_IN]->(n3:action), (n2:producer)-[:ACTED_IN]->(n1:comedy) WHERE (n3.year=2003 AND n2.birth=1975 AND n3.category=""movie"") OR (n2.death=0 AND n1.year=2005 AND n1.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n2:writer:birth_1975)-[:ACTED_IN]->(n3:action:year_2003:movie), (n2:producer:birth_1975)-[:ACTED_IN]->(n1:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:writer:death_0)-[:ACTED_IN]->(n3:action), (n2:producer:death_0)-[:ACTED_IN]->(n1:comedy:year_2005:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:writer:birth_1975:death_0)-[:ACTED_IN]->(n3:action:year_2003:movie), (n2:producer:birth_1975:death_0)-[:ACTED_IN]->(n1:comedy:year_2005:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"-";"100%";"5165";"585156";"513.4"
"MATCH (n1:cinematographer)-[:CINEMATOGRAPHER_OF]->(n2:documentary), (n1:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:comedy) WHERE (n3.year=1957 AND n2.category=""movie"" AND n1.birth=1922) OR (n2.year=1957 AND n1.death=2005 AND n3.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n1:cinematographer:birth_1922)-[:CINEMATOGRAPHER_OF]->(n2:documentary:movie), (n1:camera_department:birth_1922)-[:CINEMATOGRAPHER_OF]->(n3:comedy:year_1957)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:cinematographer:death_2005)-[:CINEMATOGRAPHER_OF]->(n2:documentary:year_1957), (n1:camera_department:death_2005)-[:CINEMATOGRAPHER_OF]->(n3:comedy:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:cinematographer:birth_1922:death_2005)-[:CINEMATOGRAPHER_OF]->(n2:documentary:movie:year_1957), (n1:camera_department:birth_1922:death_2005)-[:CINEMATOGRAPHER_OF]->(n3:comedy:year_1957:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"-";"100%";"41";"31072";"69.0"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n1:crime), (n2:soundtrack)-[:ACTED_IN]->(n3:drama) WHERE (n2.death=1956 AND n3.category=""movie"" AND n1.year=1931) OR (n2.name=""Bela Lugosi"" AND n1.category=""movie"" AND n3.year=1920) RETURN count(n1)";"CALL () {
  MATCH (n2:soundtrack:death_1956)-[:ACTED_IN]->(n1:crime:year_1931), (n2:soundtrack:death_1956)-[:ACTED_IN]->(n3:drama:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:soundtrack)-[:ACTED_IN]->(n1:crime:movie), (n2:soundtrack)-[:ACTED_IN]->(n3:drama:year_1920)
  WHERE n2.name=""Bela Lugosi""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:soundtrack:death_1956)-[:ACTED_IN]->(n1:crime:year_1931:movie), (n2:soundtrack:death_1956)-[:ACTED_IN]->(n3:drama:movie:year_1920)
  WHERE n2.name=""Bela Lugosi""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"238";"31710";"60.6"
"MATCH (n1:costume_designer)-[:ACTED_IN]->(n3:documentary), (n1:costume_designer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult) WHERE (n1.death=0 AND n3.category=""movie"" AND n2.year=1983) OR (n3.year=2016 AND n1.birth=1950 AND n2.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n1:costume_designer:death_0)-[:ACTED_IN]->(n3:documentary:movie), (n1:costume_designer:death_0)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult:year_1983)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:costume_designer:birth_1950)-[:ACTED_IN]->(n3:documentary:year_2016), (n1:costume_designer:birth_1950)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:costume_designer:death_0:birth_1950)-[:ACTED_IN]->(n3:documentary:movie:year_2016), (n1:costume_designer:death_0:birth_1950)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult:year_1983:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"-";"100%";"3";"52361";"160.6"
"MATCH (n2:actress)-[:ACTED_IN]->(n1:comedy), (n2:producer)-[:ACTED_IN]->(n3:crime) WHERE (n2.name=""Sandra Bullock"" AND n1.year=1999 AND n2.birth=1964) OR (n3.year=2006 AND n3.category=""movie"" AND n2.death=0) RETURN count(n1)";"CALL () {
  MATCH (n2:actress:birth_1964)-[:ACTED_IN]->(n1:comedy:year_1999), (n2:producer:birth_1964)-[:ACTED_IN]->(n3:crime)
  WHERE n2.name=""Sandra Bullock""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:actress:death_0)-[:ACTED_IN]->(n1:comedy), (n2:producer:death_0)-[:ACTED_IN]->(n3:crime:year_2006:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:actress:birth_1964:death_0)-[:ACTED_IN]->(n1:comedy:year_1999), (n2:producer:birth_1964:death_0)-[:ACTED_IN]->(n3:crime:year_2006:movie)
  WHERE n2.name=""Sandra Bullock""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"5824";"207428";"178.5"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:comedy), (n1:actor)-[:ACTED_IN]->(n3:drama) WHERE (n1.birth=1936 AND n3.category=""tvMovie"" AND n1.name=""AntÃ³nio Anjos"") OR (n3.year=1963 AND n2.category=""tvMovie"" AND n2.year=1957) RETURN count(n1)";"CALL () {
  MATCH (n1:actor:birth_1936)-[:ACTED_IN]->(n2:comedy), (n1:actor:birth_1936)-[:ACTED_IN]->(n3:drama:tvMovie)
  WHERE n1.name=""AntÃ³nio Anjos""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:actor)-[:ACTED_IN]->(n2:comedy:tvMovie:year_1957), (n1:actor)-[:ACTED_IN]->(n3:drama:year_1963)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:actor:birth_1936)-[:ACTED_IN]->(n2:comedy:tvMovie:year_1957), (n1:actor:birth_1936)-[:ACTED_IN]->(n3:drama:tvMovie:year_1963)
  WHERE n1.name=""AntÃ³nio Anjos""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"250";"125134";"130.9"
"MATCH (n3:director)-[:WROTE]->(n1:biography), (n3:director)-[:ACTED_IN]->(n4:family), (n3:actor)-[:DIRECTED]->(n2:biography) WHERE (n4.category=""short"" AND n1.year=0 AND n2.year=1994) OR (n1.category=""movie"" AND n3.death=0 AND n3.name=""Shekhar Kapur"") RETURN count(n1)";"CALL () {
  MATCH (n3:director)-[:WROTE]->(n1:biography:year_0), (n3:director)-[:ACTED_IN]->(n4:family:short), (n3:actor)-[:DIRECTED]->(n2:biography:year_1994)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:director:death_0)-[:WROTE]->(n1:biography:movie), (n3:director:death_0)-[:ACTED_IN]->(n4:family), (n3:actor:death_0)-[:DIRECTED]->(n2:biography)
  WHERE n3.name=""Shekhar Kapur""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:director:death_0)-[:WROTE]->(n1:biography:year_0:movie), (n3:director:death_0)-[:ACTED_IN]->(n4:family:short), (n3:actor:death_0)-[:DIRECTED]->(n2:biography:year_1994)
  WHERE n3.name=""Shekhar Kapur""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"4";"199730";"346.2"
"MATCH (n3:actor)-[:DIRECTED]->(n1:animation), (n3:actor)-[:ACTED_IN]->(n2:documentary), (n3:producer)-[:DIRECTED]->(n4:animation) WHERE (n2.year=1952 AND n3.death=1966 AND n4.category=""short"") OR (n1.category=""short"" AND n2.category=""short"" AND n3.name=""Walt Disney"") RETURN count(n1)";"CALL () {
  MATCH (n3:actor:death_1966)-[:DIRECTED]->(n1:animation), (n3:actor:death_1966)-[:ACTED_IN]->(n2:documentary:year_1952), (n3:producer:death_1966)-[:DIRECTED]->(n4:animation:short)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actor)-[:DIRECTED]->(n1:animation:short), (n3:actor)-[:ACTED_IN]->(n2:documentary:short), (n3:producer)-[:DIRECTED]->(n4:animation)
  WHERE n3.name=""Walt Disney""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actor:death_1966)-[:DIRECTED]->(n1:animation:short), (n3:actor:death_1966)-[:ACTED_IN]->(n2:documentary:year_1952:short), (n3:producer:death_1966)-[:DIRECTED]->(n4:animation:short)
  WHERE n3.name=""Walt Disney""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"169847";"45604739";"5238.2"
"MATCH (n4:actor)-[:ACTED_IN]->(n3:documentary), (n4:actor)-[:ACTED_IN]->(n1:drama), (n4:writer)-[:ACTED_IN]->(n2:drama) WHERE (n4.birth=1931 AND n4.death=2020 AND n3.year=2013) OR (n3.category=""tvMovie"" AND n2.category=""movie"" AND n1.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n4:actor:birth_1931:death_2020)-[:ACTED_IN]->(n3:documentary:year_2013), (n4:actor:birth_1931:death_2020)-[:ACTED_IN]->(n1:drama), (n4:writer:birth_1931:death_2020)-[:ACTED_IN]->(n2:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:actor)-[:ACTED_IN]->(n3:documentary:tvMovie), (n4:actor)-[:ACTED_IN]->(n1:drama:movie), (n4:writer)-[:ACTED_IN]->(n2:drama:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:actor:birth_1931:death_2020)-[:ACTED_IN]->(n3:documentary:year_2013:tvMovie), (n4:actor:birth_1931:death_2020)-[:ACTED_IN]->(n1:drama:movie), (n4:writer:birth_1931:death_2020)-[:ACTED_IN]->(n2:drama:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"-";"100%";"979714";"41251575";"7788.7"
"MATCH (n2:actress)-[:ACTED_IN]->(n1:drama), (n2:actress)-[:ACTED_IN]->(n4:thriller), (n2:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""tvSeries"" AND n1.category=""tvMovie"" AND n4.year=2000) OR (n1.year=2003 AND n4.category=""short"" AND n2.name=""Kate Atkinson"") RETURN count(n1)";"CALL () {
  MATCH (n2:actress)-[:ACTED_IN]->(n1:drama:tvMovie), (n2:actress)-[:ACTED_IN]->(n4:thriller:year_2000), (n2:actress)-[:ACTED_IN]->(n3:drama:tvSeries)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:actress)-[:ACTED_IN]->(n1:drama:year_2003), (n2:actress)-[:ACTED_IN]->(n4:thriller:short), (n2:actress)-[:ACTED_IN]->(n3:drama)
  WHERE n2.name=""Kate Atkinson""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:actress)-[:ACTED_IN]->(n1:drama:tvMovie:year_2003), (n2:actress)-[:ACTED_IN]->(n4:thriller:year_2000:short), (n2:actress)-[:ACTED_IN]->(n3:drama:tvSeries)
  WHERE n2.name=""Kate Atkinson""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"11682";"2671527";"1924.7"
"MATCH (n1:soundtrack)-[:ACTED_IN]->(n2:drama), (n1:actress)-[:ACTED_IN]->(n4:biography), (n1:actress)-[:ACTED_IN]->(n3:music) WHERE (n2.category=""movie"" AND n4.category=""tvMovie"" AND n1.name=""Victoria Abril"") OR (n1.death=0 AND n4.year=2001 AND n2.year=1988) RETURN count(n1)";"CALL () {
  MATCH (n1:soundtrack)-[:ACTED_IN]->(n2:drama:movie), (n1:actress)-[:ACTED_IN]->(n4:biography:tvMovie), (n1:actress)-[:ACTED_IN]->(n3:music)
  WHERE n1.name=""Victoria Abril""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:soundtrack:death_0)-[:ACTED_IN]->(n2:drama:year_1988), (n1:actress:death_0)-[:ACTED_IN]->(n4:biography:year_2001), (n1:actress:death_0)-[:ACTED_IN]->(n3:music)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:soundtrack:death_0)-[:ACTED_IN]->(n2:drama:movie:year_1988), (n1:actress:death_0)-[:ACTED_IN]->(n4:biography:tvMovie:year_2001), (n1:actress:death_0)-[:ACTED_IN]->(n3:music)
  WHERE n1.name=""Victoria Abril""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"4925";"13373881";"1535.7"
"MATCH (n1:producer)-[:WROTE]->(n2:adventure), (n1:director)-[:DIRECTED]->(n4:sci_fi), (n1:producer)-[:PRODUCED]->(n3:fantasy) WHERE (n3.category=""movie"" AND n4.category=""movie"" AND n2.category=""video"") OR (n2.year=1999 AND n1.name=""Charles Band"" AND n3.year=2020) RETURN count(n1)";"CALL () {
  MATCH (n1:producer)-[:WROTE]->(n2:adventure:video), (n1:director)-[:DIRECTED]->(n4:sci_fi:movie), (n1:producer)-[:PRODUCED]->(n3:fantasy:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:producer)-[:WROTE]->(n2:adventure:year_1999), (n1:director)-[:DIRECTED]->(n4:sci_fi), (n1:producer)-[:PRODUCED]->(n3:fantasy:year_2020)
  WHERE n1.name=""Charles Band""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:producer)-[:WROTE]->(n2:adventure:video:year_1999), (n1:director)-[:DIRECTED]->(n4:sci_fi:movie), (n1:producer)-[:PRODUCED]->(n3:fantasy:movie:year_2020)
  WHERE n1.name=""Charles Band""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"145";"466470";"345.1"
"MATCH (n2:actor)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:drama), (n2:actor)-[:ACTED_IN]->(n4:romance) WHERE (n1.year=1931 AND n3.year=1931 AND n2.death=1954) OR (n4.year=1933 AND n2.name=""Ekkehard Arendt"" AND n2.birth=1892) RETURN count(n1)";"CALL () {
  MATCH (n2:actor:death_1954)-[:ACTED_IN]->(n3:drama:year_1931), (n2:actor:death_1954)-[:ACTED_IN]->(n1:drama:year_1931), (n2:actor:death_1954)-[:ACTED_IN]->(n4:romance)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:actor:birth_1892)-[:ACTED_IN]->(n3:drama), (n2:actor:birth_1892)-[:ACTED_IN]->(n1:drama), (n2:actor:birth_1892)-[:ACTED_IN]->(n4:romance:year_1933)
  WHERE n2.name=""Ekkehard Arendt""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:actor:death_1954:birth_1892)-[:ACTED_IN]->(n3:drama:year_1931), (n2:actor:death_1954:birth_1892)-[:ACTED_IN]->(n1:drama:year_1931), (n2:actor:death_1954:birth_1892)-[:ACTED_IN]->(n4:romance:year_1933)
  WHERE n2.name=""Ekkehard Arendt""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"410";"33420";"61.7"
"MATCH (n1:actress)-[:ACTED_IN]->(n4:adult), (n1:make_up_department)-[:ACTED_IN]->(n2:adult), (n1:actress)-[:ACTED_IN]->(n3:adult) WHERE (n3.year=1999 AND n3.category=""video"" AND n2.category=""video"") OR (n4.year=2000 AND n2.year=2000 AND n1.name=""Laura Angel"") RETURN count(n1)";"CALL () {
  MATCH (n1:actress)-[:ACTED_IN]->(n4:adult), (n1:make_up_department)-[:ACTED_IN]->(n2:adult:video), (n1:actress)-[:ACTED_IN]->(n3:adult:year_1999:video)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:actress)-[:ACTED_IN]->(n4:adult:year_2000), (n1:make_up_department)-[:ACTED_IN]->(n2:adult:year_2000), (n1:actress)-[:ACTED_IN]->(n3:adult)
  WHERE n1.name=""Laura Angel""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:actress)-[:ACTED_IN]->(n4:adult:year_2000), (n1:make_up_department)-[:ACTED_IN]->(n2:adult:video:year_2000), (n1:actress)-[:ACTED_IN]->(n3:adult:year_1999:video)
  WHERE n1.name=""Laura Angel""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"A";"83%";"3177893";"15171429";"1595.5"
"MATCH (n4:writer)-[:ACTED_IN]->(n2:drama), (n4:director)-[:ACTED_IN]->(n3:comedy), (n4:director)-[:ACTED_IN]->(n1:drama) WHERE (n2.category=""tvSeries"" AND n4.birth=1952 AND n3.category=""movie"") OR (n2.year=2003 AND n3.year=1989 AND n1.year=2011) RETURN count(n1)";"CALL () {
  MATCH (n4:writer:birth_1952)-[:ACTED_IN]->(n2:drama:tvSeries), (n4:director:birth_1952)-[:ACTED_IN]->(n3:comedy:movie), (n4:director:birth_1952)-[:ACTED_IN]->(n1:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:writer)-[:ACTED_IN]->(n2:drama:year_2003), (n4:director)-[:ACTED_IN]->(n3:comedy:year_1989), (n4:director)-[:ACTED_IN]->(n1:drama:year_2011)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:writer:birth_1952)-[:ACTED_IN]->(n2:drama:tvSeries:year_2003), (n4:director:birth_1952)-[:ACTED_IN]->(n3:comedy:movie:year_1989), (n4:director:birth_1952)-[:ACTED_IN]->(n1:drama:year_2011)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C) OR (D AND E AND F)";"-";"100%";"650760";"24159863";"3060.6"
"MATCH (n1:writer)-[:WROTE]->(n4:drama), (n1:producer)-[:PRODUCED]->(n2:comedy), (n1:writer)-[:WROTE]->(n3:drama) WHERE (n4.category=""movie"" AND n3.year=0 AND n2.year=0 AND n1.death=0) OR (n2.category=""movie"" AND n1.birth=1953 AND n1.name=""Steven Zaillian"" AND n4.year=2002) RETURN count(n1)";"CALL () {
  MATCH (n1:writer:death_0)-[:WROTE]->(n4:drama:movie), (n1:producer:death_0)-[:PRODUCED]->(n2:comedy:year_0), (n1:writer:death_0)-[:WROTE]->(n3:drama:year_0)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:writer:birth_1953)-[:WROTE]->(n4:drama:year_2002), (n1:producer:birth_1953)-[:PRODUCED]->(n2:comedy:movie), (n1:writer:birth_1953)-[:WROTE]->(n3:drama)
  WHERE n1.name=""Steven Zaillian""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:writer:death_0:birth_1953)-[:WROTE]->(n4:drama:movie:year_2002), (n1:producer:death_0:birth_1953)-[:PRODUCED]->(n2:comedy:year_0:movie), (n1:writer:death_0:birth_1953)-[:WROTE]->(n3:drama:year_0)
  WHERE n1.name=""Steven Zaillian""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C AND D) OR (E AND F AND G AND H)";"A";"88%";"1555";"16599260";"4744.1"
"MATCH (n1:soundtrack)-[:ACTED_IN]->(n4:comedy), (n1:soundtrack)-[:ACTED_IN]->(n2:fantasy), (n1:writer)-[:ACTED_IN]->(n3:comedy) WHERE (n4.year=2016 AND n1.death=0 AND n2.year=2011 AND n2.category=""tvSeries"") OR (n1.name=""Bayani Agbayani"" AND n3.year=2017 AND n3.category=""movie"" AND n1.birth=0) RETURN count(n1)";"CALL () {
  MATCH (n1:soundtrack:death_0)-[:ACTED_IN]->(n4:comedy:year_2016), (n1:soundtrack:death_0)-[:ACTED_IN]->(n2:fantasy:year_2011:tvSeries), (n1:writer:death_0)-[:ACTED_IN]->(n3:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:soundtrack:birth_0)-[:ACTED_IN]->(n4:comedy), (n1:soundtrack:birth_0)-[:ACTED_IN]->(n2:fantasy), (n1:writer:birth_0)-[:ACTED_IN]->(n3:comedy:year_2017:movie)
  WHERE n1.name=""Bayani Agbayani""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:soundtrack:death_0:birth_0)-[:ACTED_IN]->(n4:comedy:year_2016), (n1:soundtrack:death_0:birth_0)-[:ACTED_IN]->(n2:fantasy:year_2011:tvSeries), (n1:writer:death_0:birth_0)-[:ACTED_IN]->(n3:comedy:year_2017:movie)
  WHERE n1.name=""Bayani Agbayani""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C AND D) OR (E AND F AND G AND H)";"A";"88%";"2715";"10590038";"2006.3"
"MATCH (n4:cinematographer)-[:CINEMATOGRAPHER_OF]->(n2:action), (n4:editor)-[:CINEMATOGRAPHER_OF]->(n3:documentary), (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:comedy) WHERE (n4.birth=0 AND n1.category=""movie"" AND n3.category=""short"" AND n2.year=2006) OR (n3.year=2019 AND n4.death=0 AND n1.year=2013 AND n4.name=""Aasulv Austad"") RETURN count(n1)";"CALL () {
  MATCH (n4:cinematographer:birth_0)-[:CINEMATOGRAPHER_OF]->(n2:action:year_2006), (n4:editor:birth_0)-[:CINEMATOGRAPHER_OF]->(n3:documentary:short), (n4:camera_department:birth_0)-[:CINEMATOGRAPHER_OF]->(n1:comedy:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:cinematographer:death_0)-[:CINEMATOGRAPHER_OF]->(n2:action), (n4:editor:death_0)-[:CINEMATOGRAPHER_OF]->(n3:documentary:year_2019), (n4:camera_department:death_0)-[:CINEMATOGRAPHER_OF]->(n1:comedy:year_2013)
  WHERE n4.name=""Aasulv Austad""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:cinematographer:birth_0:death_0)-[:CINEMATOGRAPHER_OF]->(n2:action:year_2006), (n4:editor:birth_0:death_0)-[:CINEMATOGRAPHER_OF]->(n3:documentary:short:year_2019), (n4:camera_department:birth_0:death_0)-[:CINEMATOGRAPHER_OF]->(n1:comedy:movie:year_2013)
  WHERE n4.name=""Aasulv Austad""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"(A AND B AND C AND D) OR (E AND F AND G AND H)";"A";"88%";"26";"421271";"223.7"
